city,Year,Month,Labor Force,Employed,Unemployed,city_rate,Massachusetts Rate,year-month
Newton,2021,03,46864,44874,1990,4.2,6.7,2021-03
Wellesley,2021,03,13134,12553,581,4.4,6.7,2021-03
Chelsea,2021,03,20532,18874,1658,8.1,6.7,2021-03
Revere,2021,03,29100,26564,2536,8.7,6.7,2021-03
New Bedford,2021,03,47594,42658,4936,10.4,6.7,2021-03
Newton,2021,04,46698,44929,1769,3.8,6.0,2021-04
Wellesley,2021,04,13087,12568,519,4.0,6.0,2021-04
Chelsea,2021,04,20384,18898,1486,7.3,6.0,2021-04
Revere,2021,04,28777,26597,2180,7.6,6.0,2021-04
New Bedford,2021,04,47692,43387,4305,9.0,6.0,2021-04
Newton,2021,05,46642,44902,1740,3.7,5.7,2021-05
Wellesley,2021,05,13097,12561,536,4.1,5.7,2021-05
Chelsea,2021,05,20376,18886,1490,7.3,5.7,2021-05
Revere,2021,05,28627,26580,2047,7.2,5.7,2021-05
New Bedford,2021,05,47649,43652,3997,8.4,5.7,2021-05
Newton,2021,06,47351,45317,2034,4.3,6.1,2021-06
Wellesley,2021,06,13290,12677,613,4.6,6.1,2021-06
Chelsea,2021,06,20680,19061,1619,7.8,6.1,2021-06
Revere,2021,06,29085,26826,2259,7.8,6.1,2021-06
New Bedford,2021,06,48322,44076,4246,8.8,6.1,2021-06
Newton,2021,07,47712,45633,2079,4.4,5.7,2021-07
Wellesley,2021,07,13366,12765,601,4.5,5.7,2021-07
Chelsea,2021,07,20598,19194,1404,6.8,5.7,2021-07
Revere,2021,07,29042,27013,2029,7.0,5.7,2021-07
New Bedford,2021,07,47938,44015,3923,8.2,5.7,2021-07
Newton,2021,08,47601,45827,1774,3.7,5.2,2021-08
Wellesley,2021,08,13325,12820,505,3.8,5.2,2021-08
Chelsea,2021,08,20539,19275,1264,6.2,5.2,2021-08
Revere,2021,08,28908,27128,1780,6.2,5.2,2021-08
New Bedford,2021,08,47418,43773,3645,7.7,5.2,2021-08
Newton,2021,09,46959,45355,1604,3.4,4.7,2021-09
Wellesley,2021,09,13165,12687,478,3.6,4.7,2021-09
Chelsea,2021,09,20244,19077,1167,5.8,4.7,2021-09
Revere,2021,09,28496,26849,1647,5.8,4.7,2021-09
New Bedford,2021,09,47110,43853,3257,6.9,4.7,2021-09
Newton,2021,10,47477,45910,1567,3.3,4.2,2021-10
Wellesley,2021,10,13306,12843,463,3.5,4.2,2021-10
Chelsea,2021,10,20278,19310,968,4.8,4.2,2021-10
Revere,2021,10,28559,27177,1382,4.8,4.2,2021-10
New Bedford,2021,10,47029,44072,2957,6.3,4.2,2021-10
Newton,2021,11,47743,46399,1344,2.8,3.8,2021-11
Wellesley,2021,11,13397,12979,418,3.1,3.8,2021-11
Chelsea,2021,11,20358,19516,842,4.1,3.8,2021-11
Revere,2021,11,28672,27467,1205,4.2,3.8,2021-11
New Bedford,2021,11,47342,44522,2820,6.0,3.8,2021-11
Newton,2021,12,47493,46276,1217,2.6,3.6,2021-12
Wellesley,2021,12,13297,12945,352,2.6,3.6,2021-12
Chelsea,2021,12,20305,19464,841,4.1,3.6,2021-12
Revere,2021,12,28570,27394,1176,4.1,3.6,2021-12
New Bedford,2021,12,47088,44201,2887,6.1,3.6,2021-12
Newton,2022,01,47545,46145,1400,2.9,4.6,2022-01
Wellesley,2022,01,13316,12908,408,3.1,4.6,2022-01
Chelsea,2022,01,20469,19409,1060,5.2,4.6,2022-01
Revere,2022,01,28904,27316,1588,5.5,4.6,2022-01
New Bedford,2022,01,47496,43601,3895,8.2,4.6,2022-01
Newton,2022,02,47634,46449,1185,2.5,4.3,2022-02
Wellesley,2022,02,13341,12994,347,2.6,4.3,2022-02
Chelsea,2022,02,20578,19537,1041,5.1,4.3,2022-02
Revere,2022,02,28968,27496,1472,5.1,4.3,2022-02
New Bedford,2022,02,47643,43833,3810,8.0,4.3,2022-02
Newton,2022,03,47879,46702,1177,2.5,3.9,2022-03
Wellesley,2022,03,13417,13064,353,2.6,3.9,2022-03
Chelsea,2022,03,20569,19643,926,4.5,3.9,2022-03
Revere,2022,03,28959,27646,1313,4.5,3.9,2022-03
New Bedford,2022,03,47514,44171,3343,7.0,3.9,2022-03
Newton,2022,04,47441,46329,1112,2.3,3.5,2022-04
Wellesley,2022,04,13314,12960,354,2.7,3.5,2022-04
Chelsea,2022,04,20281,19486,795,3.9,3.5,2022-04
Revere,2022,04,28574,27425,1149,4.0,3.5,2022-04
New Bedford,2022,04,46676,44091,2585,5.5,3.5,2022-04
Newton,2022,05,47479,46188,1291,2.7,3.6,2022-05
Wellesley,2022,05,13316,12920,396,3.0,3.6,2022-05
Chelsea,2022,05,20212,19427,785,3.9,3.6,2022-05
Revere,2022,05,28524,27342,1182,4.1,3.6,2022-05
New Bedford,2022,05,46732,44171,2561,5.5,3.6,2022-05
Newton,2022,06,48072,46548,1524,3.2,3.9,2022-06
Wellesley,2022,06,13490,13021,469,3.5,3.9,2022-06
Chelsea,2022,06,20428,19578,850,4.2,3.9,2022-06
Revere,2022,06,28826,27555,1271,4.4,3.9,2022-06
New Bedford,2022,06,47731,44932,2799,5.9,3.9,2022-06
Newton,2022,07,48128,46657,1471,3.1,3.9,2022-07
Wellesley,2022,07,13492,13052,440,3.3,3.9,2022-07
Chelsea,2022,07,20470,19624,846,4.1,3.9,2022-07
Revere,2022,07,28824,27620,1204,4.2,3.9,2022-07
New Bedford,2022,07,47364,44612,2752,5.8,3.9,2022-07
Newton,2022,08,48167,46679,1488,3.1,3.9,2022-08
Wellesley,2022,08,13493,13058,435,3.2,3.9,2022-08
Chelsea,2022,08,20467,19633,834,4.1,3.9,2022-08
Revere,2022,08,28797,27632,1165,4.0,3.9,2022-08
New Bedford,2022,08,47148,44346,2802,5.9,3.9,2022-08
Newton,2022,09,47413,46052,1361,2.9,3.5,2022-09
Wellesley,2022,09,13277,12882,395,3.0,3.5,2022-09
Chelsea,2022,09,20097,19370,727,3.6,3.5,2022-09
Revere,2022,09,28354,27261,1093,3.9,3.5,2022-09
New Bedford,2022,09,46492,43965,2527,5.4,3.5,2022-09
Newton,2022,10,47798,46455,1343,2.8,3.4,2022-10
Wellesley,2022,10,13399,12995,404,3.0,3.4,2022-10
Chelsea,2022,10,20236,19539,697,3.4,3.4,2022-10
Revere,2022,10,28517,27500,1017,3.6,3.4,2022-10
New Bedford,2022,10,46443,44043,2400,5.2,3.4,2022-10
Newton,2022,11,47623,46409,1214,2.5,3.3,2022-11
Wellesley,2022,11,13348,12982,366,2.7,3.3,2022-11
Chelsea,2022,11,20168,19520,648,3.2,3.3,2022-11
Revere,2022,11,28467,27473,994,3.5,3.3,2022-11
New Bedford,2022,11,46561,44043,2518,5.4,3.3,2022-11
Newton,2022,12,47537,46363,1174,2.5,3.3,2022-12
Wellesley,2022,12,13304,12969,335,2.5,3.3,2022-12
Chelsea,2022,12,20144,19501,643,3.2,3.3,2022-12
Revere,2022,12,28449,27446,1003,3.5,3.3,2022-12
New Bedford,2022,12,46586,43955,2631,5.6,3.3,2022-12
Newton,2023,01,48101,46681,1420,3.0,4.1,2023-01
Wellesley,2023,01,13521,13058,463,3.4,4.1,2023-01
Chelsea,2023,01,20503,19634,869,4.2,4.1,2023-01
Revere,2023,01,28865,27634,1231,4.3,4.1,2023-01
New Bedford,2023,01,47371,43986,3385,7.1,4.1,2023-01
Newton,2023,02,48038,46661,1377,2.9,4.2,2023-02
Wellesley,2023,02,13491,13053,438,3.2,4.2,2023-02
Chelsea,2023,02,20476,19626,850,4.2,4.2,2023-02
Revere,2023,02,28836,27622,1214,4.2,4.2,2023-02
New Bedford,2023,02,47461,43841,3620,7.6,4.2,2023-02
Newton,2023,03,47871,46632,1239,2.6,3.9,2023-03
Wellesley,2023,03,13444,13045,399,3.0,3.9,2023-03
Chelsea,2023,03,20395,19614,781,3.8,3.9,2023-03
Revere,2023,03,28725,27605,1120,3.9,3.9,2023-03
New Bedford,2023,03,46729,43508,3221,6.9,3.9,2023-03
Newton,2023,04,47871,46993,878,1.8,2.4,2023-04
Wellesley,2023,04,13428,13146,282,2.1,2.4,2023-04
Chelsea,2023,04,20234,19766,468,2.3,2.4,2023-04
Revere,2023,04,28494,27818,676,2.4,2.4,2023-04
New Bedford,2023,04,45800,43925,1875,4.1,2.4,2023-04
